,EventID,Start_Time,End_Time,Outage_Duration_In_Days,Year,Month,Facility_Code,Participant_Code,Status,Outage_Reason,Energy_Lost_MW,Description_Of_Outage,Risk_Classification
45,46,12/22/2017 13:00,12/22/2017 13:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,34.411,Output reduced due to ambient conditions,High Risk
46,47,12/23/2017 0:30,12/23/2017 0:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,36.676,Output reduced due to ambient conditions,High Risk
47,48,12/21/2017 9:30,12/21/2017 9:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,19.051,Unit slow to ramp up,High Risk
48,49,12/21/2017 9:00,12/21/2017 9:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,63.218,Unit slow to ramp up,High Risk
49,50,12/21/2017 8:00,12/21/2017 8:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,119.31,Unit slow to ramp up,High Risk
50,51,12/21/2017 7:30,12/21/2017 7:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
51,52,12/21/2017 7:00,12/21/2017 7:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
52,53,12/21/2017 6:30,12/21/2017 6:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
53,54,12/21/2017 6:00,12/21/2017 6:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
54,55,12/21/2017 5:30,12/21/2017 5:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
55,56,12/21/2017 5:00,12/21/2017 5:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
56,57,12/21/2017 4:30,12/21/2017 4:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
57,58,12/21/2017 4:00,12/21/2017 4:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
58,59,12/21/2017 3:30,12/21/2017 3:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
59,60,12/21/2017 3:00,12/21/2017 3:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
60,61,12/21/2017 2:30,12/21/2017 2:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
61,62,12/21/2017 2:00,12/21/2017 2:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
62,63,12/21/2017 1:30,12/21/2017 1:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
63,64,12/21/2017 1:00,12/21/2017 1:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
64,65,12/21/2017 12:30,12/21/2017 12:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
65,66,12/21/2017 12:00,12/21/2017 12:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
66,67,12/20/2017 23:30,12/20/2017 23:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
67,68,12/20/2017 23:00,12/20/2017 23:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
68,69,12/20/2017 22:30,12/20/2017 22:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
69,70,12/20/2017 22:00,12/20/2017 22:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
70,71,12/20/2017 21:30,12/20/2017 21:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
71,72,12/20/2017 21:00,12/20/2017 21:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
72,73,12/20/2017 20:30,12/20/2017 20:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
73,74,12/20/2017 20:00,12/20/2017 20:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
74,75,12/20/2017 19:30,12/20/2017 19:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
75,76,12/20/2017 19:00,12/20/2017 19:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
76,77,12/20/2017 18:30,12/20/2017 18:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
77,78,12/20/2017 18:00,12/20/2017 18:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
78,79,12/20/2017 17:30,12/20/2017 17:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
79,80,12/20/2017 17:00,12/20/2017 17:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
80,81,12/20/2017 16:30,12/20/2017 16:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
81,82,12/20/2017 16:00,12/20/2017 16:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
82,83,12/20/2017 15:30,12/20/2017 15:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
83,84,12/20/2017 15:00,12/20/2017 15:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
84,85,12/20/2017 14:30,12/20/2017 14:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
85,86,12/20/2017 14:00,12/20/2017 14:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
86,87,12/20/2017 13:30,12/20/2017 13:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
87,88,12/20/2017 13:00,12/20/2017 13:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
88,89,12/21/2017 0:30,12/21/2017 0:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
89,90,12/21/2017 0:00,12/21/2017 0:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
90,91,12/20/2017 11:30,12/20/2017 11:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
91,92,12/20/2017 11:00,12/20/2017 11:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,High Risk
92,93,12/20/2017 10:30,12/20/2017 10:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,27.866,Full unit trip,High Risk
93,94,12/26/2017 6:00,12/26/2017 6:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.628,Output reduced due to ambient conditions,High Risk
94,95,12/26/2017 5:30,12/26/2017 5:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.405,Output reduced due to ambient conditions,High Risk
95,96,12/26/2017 5:00,12/26/2017 5:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,2.771,Output reduced due to ambient conditions,High Risk
96,97,12/26/2017 4:30,12/26/2017 4:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,2.504,Output reduced due to ambient conditions,High Risk
97,98,12/25/2017 18:30,12/25/2017 18:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.459,Output reduced due to ambient conditions,High Risk
98,99,12/25/2017 18:00,12/25/2017 18:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.763,Output reduced due to ambient conditions,High Risk
99,100,12/25/2017 17:30,12/25/2017 17:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.444,Output reduced due to ambient conditions,High Risk
100,101,12/25/2017 17:00,12/25/2017 17:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.763,Output reduced due to ambient conditions,High Risk
101,102,12/25/2017 16:30,12/25/2017 16:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,6.539,Output reduced due to ambient conditions,High Risk
102,103,12/25/2017 3:00,12/25/2017 3:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,2.842,Output reduced due to ambient conditions,High Risk
103,104,12/23/2017 21:30,12/23/2017 21:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.84,Output reduced due to ambient conditions,High Risk
104,105,12/23/2017 21:00,12/23/2017 21:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.586,Output reduced due to ambient conditions,High Risk
105,106,12/23/2017 20:30,12/23/2017 20:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.137,Output reduced due to ambient conditions,High Risk
106,107,12/23/2017 20:00,12/23/2017 20:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.696,Output reduced due to ambient conditions,High Risk
107,108,12/21/2017 11:00,12/21/2017 11:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,12.358,Output reduced due to ambient conditions,High Risk
108,109,12/21/2017 10:30,12/21/2017 10:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,20.639,Output reduced due to ambient conditions,High Risk
109,110,12/21/2017 9:30,12/21/2017 9:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,13.241,Output reduced due to ambient conditions,High Risk
110,111,12/21/2017 9:00,12/21/2017 9:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,12.68,Output reduced due to ambient conditions,High Risk
111,112,12/21/2017 8:30,12/21/2017 8:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,10.234,Output reduced due to ambient conditions,High Risk
112,113,12/20/2017 18:30,12/20/2017 18:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,7.698,Output reduced due to ambient conditions,High Risk
113,114,12/25/2017 11:30,12/25/2017 11:30,0,2017,12,AUXC_WGP,AUXC,Approved,Forced,13.74,Plant steam imbalance,High Risk
114,115,12/25/2017 11:00,12/25/2017 11:00,0,2017,12,AUXC_WGP,AUXC,Approved,Forced,17.26,Plant steam imbalance,High Risk
115,116,12/25/2017 10:30,12/25/2017 10:30,0,2017,12,AUXC_WGP,AUXC,Approved,Forced,14.01,Steam plant imbalance.,High Risk
116,117,12/18/2017 16:00,12/18/2017 16:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,89.1,Wind farm tripped,High Risk
117,118,12/14/2017 10:30,12/14/2017 10:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,164.4,Slow to ramp up,High Risk
118,119,12/17/2017 14:30,12/17/2017 14:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,26.17,Slow to ramp up,High Risk
119,120,12/8/2017 15:00,12/8/2017 15:30,0.02,2017,12,STHRNCRS_EG,STHRNCRS,Approved,Forced,11,An unplanned load increase (?behind-the-fence?) led to a reduction in available capacity,Medium Risk
120,121,12/20/2017 18:00,12/20/2017 18:00,0,2017,12,KORL_GT3,KORL,Approved,Forced,68.16,Partial forced outage due to failed NOx water injection,High Risk
121,122,12/21/2017 9:30,12/21/2017 15:00,0.23,2017,12,PJRH_GT11,PJRH,Approved,Opportunistic Maintenance (Planned),118.609,ODOM to rectify leaking generator jacking oil system,N/A
122,123,12/21/2017 13:30,12/21/2017 15:30,0.08,2017,12,PJRH_GT11,PJRH,Approved,Opportunistic Maintenance (Planned),118.609,ODOM to test trip settings on generator,N/A
2520,2521,12/20/2016 18:30,12/20/2016 22:30,0.17,2016,12,MELK_G7,MELK,Approved,Forced,205.9,Unit MTR.,High Risk
2542,2543,12/13/2016 16:30,12/13/2016 16:30,0,2016,12,MELK_G7,MELK,Approved,Forced,90.66,Partial forced outage due to delay in RTS (pro-rata),High Risk
2543,2544,12/13/2016 16:00,12/13/2016 16:00,0,2016,12,MELK_G7,MELK,Approved,Forced,160,Partial forced outage due to delay in RTS,High Risk
2576,2577,12/13/2016 7:00,12/13/2016 15:30,0.35,2016,12,MELK_G7,MELK,Approved,Scheduled (Planned),110,Additional partial outage (on top of #231444) for precipitator internal work.,N/A
2577,2578,12/13/2016 7:00,12/13/2016 15:30,0.35,2016,12,MELK_G7,MELK,Approved,Scheduled (Planned),50,Partial outage for mill maintenance work,N/A
2578,2579,12/3/2016 18:00,12/3/2016 18:30,0.02,2016,12,MELK_G7,MELK,Approved,Forced,27,Forced partial outage due to mill trip,High Risk
2582,2583,12/12/2016 8:00,12/15/2016 17:00,3.38,2016,12,MELK_G7,MELK,Approved,Scheduled (Planned),47,Reduced Capacity for Cooling Tower Maintenance,N/A
2608,2609,12/5/2016 8:00,12/6/2016 7:30,0.98,2016,12,MELK_G7,MELK,Approved,Opportunistic Maintenance (Planned),205.9,Pre Summer Outage,N/A
131,132,12/16/2017 20:30,12/16/2017 20:30,0,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,8.27,Deviation from resource plan,High Risk
132,133,12/16/2017 18:30,12/16/2017 18:30,0,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,14.37,Deviation from resource plan,High Risk
133,134,12/15/2017 15:30,12/15/2017 15:30,0,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,8.84,Deviation from resource plan,High Risk
134,135,12/12/2017 20:30,12/12/2017 20:30,0,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,24.06,Deviation from resource plan,High Risk
135,136,12/21/2017 7:30,12/21/2017 10:30,0.13,2017,12,TESLA_PICTON_G1,TSLA_MGT,Approved,Consequential,9.9,Enable signal was removed due to switching to rectify faults on Western Power feeder. Site cannot operate without enable signal. Will request conversion to consequential.,N/A
136,137,12/7/2017 18:00,12/31/2017 17:30,23.98,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,13.288,Steam Turbine rotor maintenace,High Risk
137,138,12/11/2017 13:30,12/11/2017 18:30,0.21,2017,12,PMC_AG,PMC,Approved,Consequential,68,"APLD operated, separating PRK_AG from the SWIS",N/A
138,139,12/11/2017 13:30,12/11/2017 18:00,0.19,2017,12,STHRNCRS_EG,STHRNCRS,Approved,Consequential,23,"APLD operated, separating STHRNCRS_EG from the SWIS",N/A
139,140,12/18/2017 17:00,12/18/2017 17:00,0,2017,12,KORL_GT3,KORL,Approved,Forced,48.16,Forced outage due to failed to synchronise,High Risk
140,141,12/15/2017 11:30,12/17/2017 7:30,1.83,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,10,Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,High Risk
141,142,12/14/2017 19:30,12/15/2017 11:00,0.65,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,14,Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,High Risk
142,143,12/14/2017 18:00,12/14/2017 19:00,0.04,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,7,Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,High Risk
143,144,12/14/2017 17:00,12/14/2017 17:30,0.02,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,31,Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,High Risk
144,145,12/17/2017 8:00,12/17/2017 14:30,0.27,2017,12,COLLGAR_WF1,COLLGAR,Approved,Consequential,206,"Consequential Outage - Anti-islanding issue caused by stormy weather. Collgar constrained ""to maintain security"" (WP DA#17521 & 17522)",N/A
145,146,12/14/2017 10:00,12/14/2017 15:30,0.23,2017,12,COLLGAR_WF1,COLLGAR,Approved,Consequential,154,"Consequential Outage (MU BTT3 equipment failure resulted in Collgar constraint to ""maintain system security"" (WP DA17505 & contacted via phone by Control Room to advise that the outage from 13/12/17 would resume)",N/A
146,147,12/13/2017 16:00,12/13/2017 16:30,0.02,2017,12,COLLGAR_WF1,COLLGAR,Approved,Consequential,154,"Consequential Outage (MU BTT3 equipment failure resulted in Collgar constraint to ""maintain system security"" (WP DA17505)",N/A
147,148,12/11/2017 13:30,12/11/2017 22:30,0.38,2017,12,COLLGAR_WF1,COLLGAR,Approved,Consequential,206,Consequential Outage - 220kV line tripped at 13:57 as a result of lightening (WP DA#17502),N/A
148,149,12/18/2017 10:00,12/18/2017 10:00,0,2017,12,KORL_GT3,KORL,Approved,Forced,82.56,Forced outage due to communication errors,High Risk
149,150,12/17/2017 18:30,12/18/2017 9:30,0.63,2017,12,KORL_GT3,KORL,Approved,Forced,103.2,Forced outage due to communication errors,High Risk
150,151,12/17/2017 18:00,12/17/2017 18:00,0,2017,12,KORL_GT3,KORL,Approved,Forced,58.48,Forced outage due to communication errors,High Risk
151,152,12/18/2017 16:30,12/18/2017 18:00,0.06,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,44.1,Wind farm output limited,High Risk
152,153,12/18/2017 13:30,12/18/2017 15:30,0.08,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,58,Wind farm tripped,High Risk
153,154,12/17/2017 23:30,12/19/2017 0:00,1.02,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,42.1,Islanded on Tronox Instructions due to Serve Weather.,High Risk
2609,2610,12/6/2016 8:00,12/12/2016 7:30,5.98,2016,12,MELK_G7,MELK,Approved,Scheduled (Planned),205.9,Pre Summer Outage,N/A
155,156,12/17/2017 18:00,12/17/2017 18:00,0,2017,12,KORL_GT3,KORL,Approved,Forced,18.72,Partial Forced outage due to lose of gas compressor,High Risk
156,157,12/17/2017 10:30,12/17/2017 17:30,0.29,2017,12,KORL_GT3,KORL,Approved,Forced,43.2,Partial Forced outage due to lose of gas compressor,High Risk
157,158,12/17/2017 17:30,12/17/2017 18:00,0.02,2017,12,TESLA_PICTON_G1,TSLA_MGT,Approved,Consequential,9.9,Enable signal was removed due to a Western Power feeder drop out caused by bad weather. Site cannot operate without enable signal. Will request conversion to consequential.,N/A
158,159,12/17/2017 10:00,12/17/2017 10:00,0,2017,12,KORL_GT3,KORL,Approved,Forced,27.36,Forced outage due to lose of gas compressor,High Risk
2616,2617,12/4/2016 8:00,12/9/2016 7:30,4.98,2016,12,MELK_G7,MELK,Cancelled By Market Participant,Scheduled (Planned),205.9,Pre Summer Outage,N/A
2631,2632,11/30/2016 21:00,11/30/2016 21:00,0,2016,11,MELK_G7,MELK,Approved,Forced,7.48,Loss of a mill,High Risk
2704,2705,11/22/2016 8:00,11/28/2016 7:30,5.98,2016,11,MELK_G7,MELK,Approved,Scheduled (Planned),211,Pre Summer Outage,N/A
2728,2729,12/14/2016 14:30,12/20/2016 14:00,5.98,2016,12,MELK_G7,MELK,Approved,Scheduled (Planned),55,Cooling Tower Maintenance,N/A
163,164,12/3/2017 18:00,12/3/2017 18:00,0,2017,12,PMC_AG,PMC,Approved,Forced,83.75,Operational issues caused real time forced outage.,High Risk
164,165,12/3/2017 14:00,12/3/2017 17:30,0.15,2017,12,PMC_AG,PMC,Approved,Forced,84.057,Operational issues caused real time forced outage.,High Risk
165,166,12/4/2017 0:00,12/3/2017 13:30,0.44,2017,12,PMC_AG,PMC,Approved,Forced,83.903,Operational issues caused real time forced outage.,High Risk
166,167,12/2/2017 23:30,12/2/2017 23:30,0,2017,12,PMC_AG,PMC,Approved,Forced,187.837,Operational issues caused real time forced outage.,High Risk
167,168,12/2/2017 22:00,12/2/2017 23:00,0.04,2017,12,PMC_AG,PMC,Approved,Forced,252.834,Operational issues caused real time forced outage.,High Risk
168,169,12/2/2017 19:00,12/2/2017 19:00,0,2017,12,PMC_AG,PMC,Approved,Forced,227.081,Operational issues caused real time forced outage.,High Risk
169,170,12/2/2017 18:30,12/2/2017 18:30,0,2017,12,PMC_AG,PMC,Approved,Forced,274.142,Operational issues caused real time forced outage.,High Risk
